"Time","{dostawca=""Azure"", konfiguracja=""high"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""low"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""medium"", usługa=""Container Apps""}"
2025-09-13 22:37:00,3,16,7
2025-09-13 22:37:30,3,16,7
2025-09-13 22:38:00,3,16,7
2025-09-13 22:38:30,3,16,7
2025-09-13 22:39:00,3,16,7
2025-09-13 22:39:30,3,16,7
2025-09-13 22:40:00,3,16,7
2025-09-13 22:40:30,3,16,7
2025-09-13 22:41:00,3,16,7
2025-09-13 22:41:30,3,16,7
2025-09-13 22:42:00,3,16,7
2025-09-13 22:42:30,3,16,7
2025-09-13 22:43:00,3,16,7
2025-09-13 22:43:30,3,16,7
2025-09-13 22:44:00,3,16,7
2025-09-13 22:44:30,3,16,7
2025-09-13 22:45:00,3,16,7
2025-09-13 22:45:30,3,16,7
2025-09-13 22:46:00,3,16,7
2025-09-13 22:46:30,3,16,7
2025-09-13 22:47:00,3,16,7
2025-09-13 22:47:30,3,16,7
2025-09-13 22:48:00,3,16,7
2025-09-13 22:48:30,3,16,7
2025-09-13 22:49:00,3,16,7
2025-09-13 22:49:30,3,16,7
2025-09-13 22:50:00,3,16,7
2025-09-13 22:50:30,3,16,7
2025-09-13 22:51:00,3,16,7
2025-09-13 22:51:30,3,16,7
2025-09-13 22:52:00,3,16,7
2025-09-13 22:52:30,3,16,7
2025-09-13 22:53:00,3,16,7
2025-09-13 22:53:30,3,16,7
2025-09-13 22:54:00,3,16,7
2025-09-13 22:54:30,3,16,7
2025-09-13 22:55:00,3,16,7
2025-09-13 22:55:30,3,16,7
2025-09-13 22:56:00,3,16,7
2025-09-13 22:56:30,3,16,7
2025-09-13 22:57:00,3,16,7
2025-09-13 22:57:30,3,16,7
2025-09-13 22:58:00,3,16,7
2025-09-13 22:58:30,3,16,7
2025-09-13 22:59:00,3,16,7
2025-09-13 22:59:30,3,16,7
2025-09-13 23:00:00,3,16,7
2025-09-13 23:00:30,3,16,7
2025-09-13 23:01:00,3,16,7
2025-09-13 23:01:30,3,16,7
2025-09-13 23:02:00,3,16,7
2025-09-13 23:02:30,3,16,7
2025-09-13 23:03:00,3,16,7
2025-09-13 23:03:30,3,16,7
2025-09-13 23:04:00,3,16,7
2025-09-13 23:04:30,3,16,7
2025-09-13 23:05:00,3,16,7
2025-09-13 23:05:30,3,16,7
2025-09-13 23:06:00,3,16,7
2025-09-13 23:06:30,3,16,7
2025-09-13 23:07:00,3,16,7
2025-09-13 23:07:30,3,16,7
2025-09-13 23:08:00,3,16,7
2025-09-13 23:08:30,3,16,7
2025-09-13 23:09:00,3,16,7
2025-09-13 23:09:30,3,16,7
2025-09-13 23:10:00,3,16,7
2025-09-13 23:10:30,3,16,7
2025-09-13 23:11:00,3,16,7
2025-09-13 23:11:30,3,16,7
2025-09-13 23:12:00,3,16,7
2025-09-13 23:12:30,3,16,7
2025-09-13 23:13:00,3,16,7
2025-09-13 23:13:30,3,16,7
2025-09-13 23:14:00,3,16,7
2025-09-13 23:14:30,3,16,7
2025-09-13 23:15:00,3,16,7
2025-09-13 23:15:30,3,16,7
2025-09-13 23:16:00,3,16,7
2025-09-13 23:16:30,3,16,7
2025-09-13 23:17:00,3,16,7
2025-09-13 23:17:30,3,16,7
2025-09-13 23:18:00,3,16,7
2025-09-13 23:18:30,3,16,7
2025-09-13 23:19:00,3,16,7
2025-09-13 23:19:30,3,16,7
2025-09-13 23:20:00,3,16,7
2025-09-13 23:20:30,3,16,7
2025-09-13 23:21:00,3,16,7
2025-09-13 23:21:30,3,16,7
2025-09-13 23:22:00,3,16,7
2025-09-13 23:22:30,3,16,7
2025-09-13 23:23:00,3,16,7
2025-09-13 23:23:30,3,16,7
2025-09-13 23:24:00,3,16,7
2025-09-13 23:24:30,3,16,7
2025-09-13 23:25:00,3,16,7
2025-09-13 23:25:30,3,16,7
2025-09-13 23:26:00,3,16,7
2025-09-13 23:26:30,3,16,7
2025-09-13 23:27:00,3,16,7
2025-09-13 23:27:30,3,16,7
2025-09-13 23:28:00,3,16,7
2025-09-13 23:28:30,3,16,7
2025-09-13 23:29:00,3,16,7
2025-09-13 23:29:30,3,16,7
2025-09-13 23:30:00,3,16,7
2025-09-13 23:30:30,3,16,7
2025-09-13 23:31:00,3,16,7
2025-09-13 23:31:30,3,16,7
2025-09-13 23:32:00,3,16,7
2025-09-13 23:32:30,3,16,7
2025-09-13 23:33:00,3,16,7
2025-09-13 23:33:30,3,16,7
2025-09-13 23:34:00,3,16,7
2025-09-13 23:34:30,3,16,7
2025-09-13 23:35:00,3,16,7
2025-09-13 23:35:30,3,16,7
2025-09-13 23:36:00,3,16,7
2025-09-13 23:36:30,3,16,7
2025-09-13 23:37:00,3,16,7
2025-09-13 23:37:30,3,16,7
2025-09-13 23:38:00,3,16,7
2025-09-13 23:38:30,3,16,7
2025-09-13 23:39:00,3,16,7
2025-09-13 23:39:30,3,16,7
2025-09-13 23:40:00,3,16,7
2025-09-13 23:40:30,3,16,7
2025-09-13 23:41:00,3,16,7
2025-09-13 23:41:30,3,16,7
2025-09-13 23:42:00,3,16,7
2025-09-13 23:42:30,3,16,7
2025-09-13 23:43:00,3,16,7
2025-09-13 23:43:30,3,16,7
2025-09-13 23:44:00,3,16,7
2025-09-13 23:44:30,3,16,7
2025-09-13 23:45:00,3,16,7
2025-09-13 23:45:30,3,16,7
2025-09-13 23:46:00,3,16,7
2025-09-13 23:46:30,3,16,7
2025-09-13 23:47:00,3,16,7
2025-09-13 23:47:30,3,16,7
2025-09-13 23:48:00,3,16,7
2025-09-13 23:48:30,3,16,7
2025-09-13 23:49:00,3,16,7
2025-09-13 23:49:30,3,16,7
2025-09-13 23:50:00,3,16,7
2025-09-13 23:50:30,3,16,7
2025-09-13 23:51:00,3,16,7
2025-09-13 23:51:30,3,16,7
2025-09-13 23:52:00,3,16,7
2025-09-13 23:52:30,3,16,7
2025-09-13 23:53:00,3,16,7
2025-09-13 23:53:30,3,16,7
2025-09-13 23:54:00,3,16,7
2025-09-13 23:54:30,3,16,7
2025-09-13 23:55:00,3,16,7
2025-09-13 23:55:30,3,16,7
2025-09-13 23:56:00,3,16,7
2025-09-13 23:56:30,3,16,7
2025-09-13 23:57:00,3,16,7
2025-09-13 23:57:30,3,16,7
2025-09-13 23:58:00,3,16,7
2025-09-13 23:58:30,3,16,7
2025-09-13 23:59:00,3,16,7
2025-09-13 23:59:30,3,16,7
2025-09-14 00:00:00,3,16,7
2025-09-14 00:00:30,3,16,7
2025-09-14 00:01:00,3,16,7
2025-09-14 00:01:30,3,16,7
2025-09-14 00:02:00,3,16,7
2025-09-14 00:02:30,3,16,7
2025-09-14 00:03:00,3,16,7
2025-09-14 00:03:30,3,16,7
2025-09-14 00:04:00,3,16,7
2025-09-14 00:04:30,3,16,7
2025-09-14 00:05:00,3,16,7
2025-09-14 00:05:30,3,16,7
2025-09-14 00:06:00,3,16,7
2025-09-14 00:06:30,3,16,7
2025-09-14 00:07:00,3,16,7
2025-09-14 00:07:30,3,16,7
2025-09-14 00:08:00,3,16,7
2025-09-14 00:08:30,3,16,7
2025-09-14 00:09:00,3,16,7
2025-09-14 00:09:30,3,16,7
2025-09-14 00:10:00,3,16,7
2025-09-14 00:10:30,3,16,7
2025-09-14 00:11:00,3,16,7
2025-09-14 00:11:30,3,16,7
2025-09-14 00:12:00,3,16,7
2025-09-14 00:12:30,3,16,7
2025-09-14 00:13:00,3,16,7
2025-09-14 00:13:30,3,16,7
2025-09-14 00:14:00,3,16,7
2025-09-14 00:14:30,3,16,7
2025-09-14 00:15:00,3,16,7
2025-09-14 00:15:30,3,16,7
2025-09-14 00:16:00,3,16,7
2025-09-14 00:16:30,3,16,7
2025-09-14 00:17:00,3,16,7
2025-09-14 00:17:30,3,16,7
2025-09-14 00:18:00,3,16,7
2025-09-14 00:18:30,3,16,7
2025-09-14 00:19:00,3,16,7
2025-09-14 00:19:30,3,16,7
2025-09-14 00:20:00,3,16,7
2025-09-14 00:20:30,3,16,7
2025-09-14 00:21:00,3,16,7
2025-09-14 00:21:30,3,16,7
2025-09-14 00:22:00,3,16,7
2025-09-14 00:22:30,3,16,7
2025-09-14 00:23:00,3,16,7
2025-09-14 00:23:30,3,16,7
2025-09-14 00:24:00,3,16,7
2025-09-14 00:24:30,3,16,7
2025-09-14 00:25:00,3,16,7
2025-09-14 00:25:30,3,16,7
2025-09-14 00:26:00,3,16,7
2025-09-14 00:26:30,3,16,7
2025-09-14 00:27:00,3,16,7
2025-09-14 00:27:30,3,16,7
2025-09-14 00:28:00,3,16,7
2025-09-14 00:28:30,3,16,7
2025-09-14 00:29:00,3,16,7
2025-09-14 00:29:30,3,16,7
2025-09-14 00:30:00,3,16,7
2025-09-14 00:30:30,3,16,7
2025-09-14 00:31:00,3,16,7
2025-09-14 00:31:30,3,16,7
2025-09-14 00:32:00,3,16,7
2025-09-14 00:32:30,3,16,7
2025-09-14 00:33:00,3,16,7
2025-09-14 00:33:30,3,16,7
2025-09-14 00:34:00,3,16,7
2025-09-14 00:34:30,3,16,7
2025-09-14 00:35:00,3,16,7
2025-09-14 00:35:30,3,16,7
2025-09-14 00:36:00,3,16,7
2025-09-14 00:36:30,3,16,7
2025-09-14 00:37:00,3,16,7
2025-09-14 00:37:30,3,16,7
2025-09-14 00:38:00,3,16,7
2025-09-14 00:38:30,3,16,7
2025-09-14 00:39:00,3,16,7
2025-09-14 00:39:30,3,16,7
2025-09-14 00:40:00,3,16,7
2025-09-14 00:40:30,3,16,7
2025-09-14 00:41:00,3,16,7
2025-09-14 00:41:30,3,16,7
2025-09-14 00:42:00,3,16,7
2025-09-14 00:42:30,3,16,7
2025-09-14 00:43:00,3,16,7
2025-09-14 00:43:30,3,16,7
2025-09-14 00:44:00,3,16,7
2025-09-14 00:44:30,3,16,7
2025-09-14 00:45:00,3,16,7
2025-09-14 00:45:30,3,16,7
2025-09-14 00:46:00,3,16,7
2025-09-14 00:46:30,3,16,7
2025-09-14 00:47:00,3,16,7
2025-09-14 00:47:30,3,16,7
2025-09-14 00:48:00,3,16,7
2025-09-14 00:48:30,3,16,7
2025-09-14 00:49:00,3,16,7
2025-09-14 00:49:30,3,16,7
2025-09-14 00:50:00,3,16,7
2025-09-14 00:50:30,3,16,7
2025-09-14 00:51:00,3,16,7
2025-09-14 00:51:30,3,16,7
2025-09-14 00:52:00,3,16,7
2025-09-14 00:52:30,3,16,7
2025-09-14 00:53:00,3,16,7
2025-09-14 00:53:30,3,16,7
2025-09-14 00:54:00,3,16,7
2025-09-14 00:54:30,3,16,7
2025-09-14 00:55:00,3,16,7
2025-09-14 00:55:30,3,16,7
2025-09-14 00:56:00,3,16,7
2025-09-14 00:56:30,3,16,7
2025-09-14 00:57:00,3,16,7
2025-09-14 00:57:30,3,16,7
2025-09-14 00:58:00,3,16,7
2025-09-14 00:58:30,3,16,7
2025-09-14 00:59:00,3,16,7
2025-09-14 00:59:30,3,16,7
2025-09-14 01:00:00,3,16,7
2025-09-14 01:00:30,3,16,7
2025-09-14 01:01:00,3,16,7
2025-09-14 01:01:30,3,16,7
2025-09-14 01:02:00,3,16,7
2025-09-14 01:02:30,3,16,7
2025-09-14 01:03:00,3,16,7
2025-09-14 01:03:30,3,16,7
2025-09-14 01:04:00,3,16,7
2025-09-14 01:04:30,3,16,7
2025-09-14 01:05:00,3,16,7
2025-09-14 01:05:30,3,16,7
2025-09-14 01:06:00,3,16,7
2025-09-14 01:06:30,3,16,7
2025-09-14 01:07:00,3,16,7
2025-09-14 01:07:30,3,16,7
2025-09-14 01:08:00,3,15.7,7
2025-09-14 01:08:30,3,15.7,7
2025-09-14 01:09:00,3,14.9,7
2025-09-14 01:09:30,3,14.9,7
2025-09-14 01:10:00,3,14.9,7
2025-09-14 01:10:30,3,14.9,7
2025-09-14 01:11:00,3,14.9,7
2025-09-14 01:11:30,3,14.9,7
2025-09-14 01:12:00,3,14.9,7
2025-09-14 01:12:30,3,14.9,7
2025-09-14 01:13:00,3,14.9,7
2025-09-14 01:13:30,3,14.9,7
2025-09-14 01:14:00,3,14.9,7
2025-09-14 01:14:30,3,14.9,7
2025-09-14 01:15:00,3,14.7,7
2025-09-14 01:15:30,3,14.7,7
2025-09-14 01:16:00,3,14,7
2025-09-14 01:16:30,3,14,7
2025-09-14 01:17:00,3,14,7
2025-09-14 01:17:30,3,14,7
2025-09-14 01:18:00,3,14,7
2025-09-14 01:18:30,3,14,7
2025-09-14 01:19:00,3,14,7
2025-09-14 01:19:30,3,14,7
2025-09-14 01:20:00,3,14,7
2025-09-14 01:20:30,3,14,7
2025-09-14 01:21:00,3,14,7
2025-09-14 01:21:30,3,14,7
2025-09-14 01:22:00,3,14,7
2025-09-14 01:22:30,3,14,7
2025-09-14 01:23:00,3,14,7
2025-09-14 01:23:30,3,14,7
2025-09-14 01:24:00,3,14,7
2025-09-14 01:24:30,3,14,7
2025-09-14 01:25:00,3,14,7
2025-09-14 01:25:30,3,14,7
2025-09-14 01:26:00,3,14,7
2025-09-14 01:26:30,3,14,7
2025-09-14 01:27:00,3,14,7
2025-09-14 01:27:30,3,14,7
2025-09-14 01:28:00,3,14,7
2025-09-14 01:28:30,3,14,7
2025-09-14 01:29:00,3,14,7
2025-09-14 01:29:30,3,14,7
2025-09-14 01:30:00,3,14,7
2025-09-14 01:30:30,3,14,7
2025-09-14 01:31:00,3,14,7
2025-09-14 01:31:30,3,14,7
2025-09-14 01:32:00,3,14,7
2025-09-14 01:32:30,3,14,7
2025-09-14 01:33:00,3,14,7
2025-09-14 01:33:30,3,14,7
2025-09-14 01:34:00,3,14,7
2025-09-14 01:34:30,3,14,7
2025-09-14 01:35:00,3,14,7
2025-09-14 01:35:30,3,14,7
2025-09-14 01:36:00,3,14,7
2025-09-14 01:36:30,3,14,7
2025-09-14 01:37:00,3,14,7
2025-09-14 01:37:30,3,14,7
2025-09-14 01:38:00,3,14,7
2025-09-14 01:38:30,3,14,7
2025-09-14 01:39:00,3,14,7
2025-09-14 01:39:30,3,14,7
2025-09-14 01:40:00,3,14,7
2025-09-14 01:40:30,3,14,7
2025-09-14 01:41:00,3,14,7
2025-09-14 01:41:30,3,14,7
2025-09-14 01:42:00,3,14,7
2025-09-14 01:42:30,3,14,7
2025-09-14 01:43:00,3,14,7
2025-09-14 01:43:30,3,14,7
2025-09-14 01:44:00,3,14,7
2025-09-14 01:44:30,3,14,7
2025-09-14 01:45:00,3,14,7
2025-09-14 01:45:30,3,14,7
2025-09-14 01:46:00,3,14,7
2025-09-14 01:46:30,3,14,7
2025-09-14 01:47:00,3,14,7
2025-09-14 01:47:30,3,14,7
2025-09-14 01:48:00,3,14,7
2025-09-14 01:48:30,3,14,7
2025-09-14 01:49:00,3,14,7
2025-09-14 01:49:30,3,14,7